Area,Item,Tonnes,Item,Tonnes
Senegal,Millet,612563,Millet,5577
Serbia,Millet,104,Millet,1449000
Sierra Leone,Millet,37633,Millet,152
Slovakia,Millet,1056,Millet,3530
Slovenia,Millet,532,Millet,82
South Africa,Millet,5762,Millet,68
South Sudan,Millet,6000,Millet,23838
Spain,Millet,728,Millet,5327
Sri Lanka,Millet,5577,Millet,234298
Sudan,Millet,1449000,Millet,189670
Switzerland,Millet,152,Millet,312352
Syrian Arab Republic,Millet,3530,Millet,284810
Tajikistan,Millet,82,Millet,6642
The former Yugoslav Republic of Macedonia,Millet,68,Millet,3720
Togo,Millet,23838,Millet,86690
Turkey,Millet,5327,Millet,29972
Uganda,Millet,234298,Millet,28927
Ukraine,Millet,189670,Millet Sum,30353830
United Republic of Tanzania,Millet,312352,Mushrooms and truffles,100
United States of America,Millet,284810,Mushrooms and truffles,1890
Uzbekistan,Millet,6642,Mushrooms and truffles,361
Viet Nam,Millet,3720,Mushrooms and truffles,50387
Yemen,Millet,86690,Mushrooms and truffles,1400
Zambia,Millet,29972,Mushrooms and truffles,1562
Zimbabwe,Millet,28927,Mushrooms and truffles,10135
,Millet Sum,189670,Mushrooms and truffles,29450
Albania,Mushrooms and truffles,100,Mushrooms and truffles,1203
Algeria,Mushrooms and truffles,1890,Mushrooms and truffles,14
Armenia,Mushrooms and truffles,361,Mushrooms and truffles,1473
Australia,Mushrooms and truffles,50387,Mushrooms and truffles,133935
Austria,Mushrooms and truffles,1400,Mushrooms and truffles,7797929
Azerbaijan,Mushrooms and truffles,1562,Mushrooms and truffles,31
Belarus,Mushrooms and truffles,10135,Mushrooms and truffles,7786368
Belgium,Mushrooms and truffles,29450,Mushrooms and truffles,11530
Bosnia and Herzegovina,Mushrooms and truffles,1203,Mushrooms and truffles,
Brunei Darussalam,Mushrooms and truffles,14,Mushrooms and truffles,761
Bulgaria,Mushrooms and truffles,1473,Mushrooms and truffles,561
Canada,Mushrooms and truffles,133935,Mushrooms and truffles,5868
China,Mushrooms and truffles,7797929,Mushrooms and truffles,3930
"China, Hong Kong SAR",Mushrooms and truffles,31,Mushrooms and truffles,51
"China, mainland",Mushrooms and truffles,7786368,Mushrooms and truffles,1345
"China, Taiwan Province of",Mushrooms and truffles,11530,Mushrooms and truffles,101949
Croatia,Mushrooms and truffles,,Mushrooms and truffles,72141
Cyprus,Mushrooms and truffles,761,Mushrooms and truffles,3601
Czechia,Mushrooms and truffles,561,Mushrooms and truffles,32311
Democratic People's Republic of Korea,Mushrooms and truffles,5868,Mushrooms and truffles,585
Denmark,Mushrooms and truffles,3930,Mushrooms and truffles,29992
Estonia,Mushrooms and truffles,51,Mushrooms and truffles,40906
Finland,Mushrooms and truffles,1345,Mushrooms and truffles,150063
France,Mushrooms and truffles,101949,Mushrooms and truffles,70000
Germany,Mushrooms and truffles,72141,Mushrooms and truffles,11000
Greece,Mushrooms and truffles,3601,Mushrooms and truffles,683620
Hungary,Mushrooms and truffles,32311,Mushrooms and truffles,65579
Iceland,Mushrooms and truffles,585,Mushrooms and truffles,856
India,Mushrooms and truffles,29992,Mushrooms and truffles,513
Indonesia,Mushrooms and truffles,40906,Mushrooms and truffles,226
Iran (Islamic Republic of),Mushrooms and truffles,150063,Mushrooms and truffles,62
Ireland,Mushrooms and truffles,70000,Mushrooms and truffles,15785
Israel,Mushrooms and truffles,11000,Mushrooms and truffles,5
Italy,Mushrooms and truffles,683620,Mushrooms and truffles,2262
Japan,Mushrooms and truffles,65579,Mushrooms and truffles,1676
Jordan,Mushrooms and truffles,856,Mushrooms and truffles,326
Kazakhstan,Mushrooms and truffles,513,Mushrooms and truffles,600
Kyrgyzstan,Mushrooms and truffles,226,Mushrooms and truffles,2105
Latvia,Mushrooms and truffles,62,Mushrooms and truffles,300000
Lithuania,Mushrooms and truffles,15785,Mushrooms and truffles,1740
Luxembourg,Mushrooms and truffles,5,Mushrooms and truffles,580
Madagascar,Mushrooms and truffles,2262,Mushrooms and truffles,260140
Malta,Mushrooms and truffles,1676,Mushrooms and truffles,12093
Mongolia,Mushrooms and truffles,326,Mushrooms and truffles,26158
Montenegro,Mushrooms and truffles,600,Mushrooms and truffles,2135
Morocco,Mushrooms and truffles,2105,Mushrooms and truffles,307
Netherlands,Mushrooms and truffles,300000,Mushrooms and truffles,14519
New Zealand,Mushrooms and truffles,1740,Mushrooms and truffles,9682
Philippines,Mushrooms and truffles,580,Mushrooms and truffles,5403
Poland,Mushrooms and truffles,260140,Mushrooms and truffles,30
Portugal,Mushrooms and truffles,12093,Mushrooms and truffles,2074
Republic of Korea,Mushrooms and truffles,26158,Mushrooms and truffles,1063
Republic of Moldova,Mushrooms and truffles,2135,Mushrooms and truffles,18803
R??union,Mushrooms and truffles,307,Mushrooms and truffles,197010
Romania,Mushrooms and truffles,14519,Mushrooms and truffles,7089
Russian Federation,Mushrooms and truffles,9682,Mushrooms and truffles,960
Serbia,Mushrooms and truffles,5403,Mushrooms and truffles,2866
Singapore,Mushrooms and truffles,30,Mushrooms and truffles,153
Slovakia,Mushrooms and truffles,2074,Mushrooms and truffles,40272
Slovenia,Mushrooms and truffles,1063,Mushrooms and truffles,14740
South Africa,Mushrooms and truffles,18803,Mushrooms and truffles,99813
Spain,Mushrooms and truffles,197010,Mushrooms and truffles,419630
Switzerland,Mushrooms and truffles,7089,Mushrooms and truffles,694
Thailand,Mushrooms and truffles,960,Mushrooms and truffles,23701
The former Yugoslav Republic of Macedonia,Mushrooms and truffles,2866,Mushrooms and truffles,684
Tunisia,Mushrooms and truffles,153,Mushrooms and truffles Sum,18588786
Turkey,Mushrooms and truffles,40272,Mustard seed,
Ukraine,Mushrooms and truffles,14740,Mustard seed,732
United Kingdom,Mushrooms and truffles,99813,Mustard seed,1105
United States of America,Mushrooms and truffles,419630,Mustard seed,250500
Uzbekistan,Mushrooms and truffles,694,Mustard seed,18338
Viet Nam,Mushrooms and truffles,23701,Mustard seed,18338
Zimbabwe,Mushrooms and truffles,684,Mustard seed,12391
,Mushrooms and truffles Sum,153,Mustard seed,29
Australia,Mustard seed,,Mustard seed,2569
Bhutan,Mustard seed,732,Mustard seed,13800
Bulgaria,Mustard seed,1105,Mustard seed,8261
Canada,Mustard seed,250500,Mustard seed,2242
China,Mustard seed,18338,Mustard seed,5
"China, mainland",Mustard seed,18338,Mustard seed,
Czechia,Mustard seed,12391,Mustard seed,7389
Denmark,Mustard seed,29,Mustard seed,6
Ethiopia,Mustard seed,2569,Mustard seed,496
France,Mustard seed,13800,Mustard seed,2
Germany,Mustard seed,8261,Mustard seed,48384
Hungary,Mustard seed,2242,Mustard seed,171499
Iran (Islamic Republic of),Mustard seed,5,Mustard seed,4544
Italy,Mustard seed,,Mustard seed,72993
Kazakhstan,Mustard seed,7389,Mustard seed,2427
Kyrgyzstan,Mustard seed,6,Mustard seed,1871
Lithuania,Mustard seed,496,Mustard seed,208
Mexico,Mustard seed,2,Mustard seed,0
Myanmar,Mustard seed,48384,Mustard seed,35580
Nepal,Mustard seed,171499,Mustard seed,43670
Romania,Mustard seed,4544,Mustard seed Sum,717379
Russian Federation,Mustard seed,72993,"Nutmeg, mace and cardamoms",2596
Serbia,Mustard seed,2427,"Nutmeg, mace and cardamoms",12
Slovakia,Mustard seed,1871,"Nutmeg, mace and cardamoms",161
Sri Lanka,Mustard seed,208,"Nutmeg, mace and cardamoms",2540
Turkey,Mustard seed,0,"Nutmeg, mace and cardamoms",35475
Ukraine,Mustard seed,35580,"Nutmeg, mace and cardamoms",482
United States of America,Mustard seed,43670,"Nutmeg, mace and cardamoms",38000
,Mustard seed Sum,4544,"Nutmeg, mace and cardamoms",31039
Bhutan,"Nutmeg, mace and cardamoms",2596,"Nutmeg, mace and cardamoms",63
Dominica,"Nutmeg, mace and cardamoms",12,"Nutmeg, mace and cardamoms",3115
Ethiopia,"Nutmeg, mace and cardamoms",161,"Nutmeg, mace and cardamoms",16
Grenada,"Nutmeg, mace and cardamoms",2540,"Nutmeg, mace and cardamoms",84
Guatemala,"Nutmeg, mace and cardamoms",35475,"Nutmeg, mace and cardamoms",57
Honduras,"Nutmeg, mace and cardamoms",482,"Nutmeg, mace and cardamoms",6439
India,"Nutmeg, mace and cardamoms",38000,"Nutmeg, mace and cardamoms",83
Indonesia,"Nutmeg, mace and cardamoms",31039,"Nutmeg, mace and cardamoms",34
Kenya,"Nutmeg, mace and cardamoms",63,"Nutmeg, mace and cardamoms",206
Lao People's Democratic Republic,"Nutmeg, mace and cardamoms",3115,"Nutmeg, mace and cardamoms",563
Madagascar,"Nutmeg, mace and cardamoms",16,"Nutmeg, mace and cardamoms",31
Malawi,"Nutmeg, mace and cardamoms",84,"Nutmeg, mace and cardamoms",392
Malaysia,"Nutmeg, mace and cardamoms",57,"Nutmeg, mace and cardamoms",764
Nepal,"Nutmeg, mace and cardamoms",6439,"Nutmeg, mace and cardamoms Sum",122152
Papua New Guinea,"Nutmeg, mace and cardamoms",83,"Nuts, nes",689
Saint Lucia,"Nutmeg, mace and cardamoms",34,"Nuts, nes",8385
Saint Vincent and the Grenadines,"Nutmeg, mace and cardamoms",206,"Nuts, nes",33936
Sri Lanka,"Nutmeg, mace and cardamoms",563,"Nuts, nes",4160
Togo,"Nutmeg, mace and cardamoms",31,"Nuts, nes",352
Trinidad and Tobago,"Nutmeg, mace and cardamoms",392,"Nuts, nes",1903
United Republic of Tanzania,"Nutmeg, mace and cardamoms",764,"Nuts, nes",1044
,"Nutmeg, mace and cardamoms Sum",6439,"Nuts, nes",3008
Afghanistan,"Nuts, nes",689,"Nuts, nes",742
Albania,"Nuts, nes",8385,"Nuts, nes",3371
Australia,"Nuts, nes",33936,"Nuts, nes",13
Azerbaijan,"Nuts, nes",4160,"Nuts, nes",65
Bahrain,"Nuts, nes",352,"Nuts, nes",150965
Belarus,"Nuts, nes",1903,"Nuts, nes",150965
Benin,"Nuts, nes",1044,"Nuts, nes",967
Brazil,"Nuts, nes",3008,"Nuts, nes",34
Bulgaria,"Nuts, nes",742,"Nuts, nes",8338
Cambodia,"Nuts, nes",3371,"Nuts, nes",10376
Cameroon,"Nuts, nes",13,"Nuts, nes",5
Chile,"Nuts, nes",65,"Nuts, nes",13957
China,"Nuts, nes",150965,"Nuts, nes",66860
"China, mainland","Nuts, nes",150965,"Nuts, nes",418
Colombia,"Nuts, nes",967,"Nuts, nes",1480
Costa Rica,"Nuts, nes",34,"Nuts, nes",35
C??te d'Ivoire,"Nuts, nes",8338,"Nuts, nes",207
Democratic People's Republic of Korea,"Nuts, nes",10376,"Nuts, nes",34769
Dominica,"Nuts, nes",5,"Nuts, nes",165
Egypt,"Nuts, nes",13957,"Nuts, nes",104402
Ethiopia,"Nuts, nes",66860,"Nuts, nes",4079
Georgia,"Nuts, nes",418,"Nuts, nes",1359
Ghana,"Nuts, nes",1480,"Nuts, nes",1200
Guadeloupe,"Nuts, nes",35,"Nuts, nes",2150
Guam,"Nuts, nes",207,"Nuts, nes",335
Guatemala,"Nuts, nes",34769,"Nuts, nes",24557
Guinea,"Nuts, nes",165,"Nuts, nes",274
Indonesia,"Nuts, nes",104402,"Nuts, nes",2606
Iran (Islamic Republic of),"Nuts, nes",4079,"Nuts, nes",3258
Iraq,"Nuts, nes",1359,"Nuts, nes",2777
Israel,"Nuts, nes",1200,"Nuts, nes",14
Italy,"Nuts, nes",2150,"Nuts, nes",3874
Kazakhstan,"Nuts, nes",335,"Nuts, nes",2137
Kenya,"Nuts, nes",24557,"Nuts, nes",1741
Kiribati,"Nuts, nes",274,"Nuts, nes",126075
Kyrgyzstan,"Nuts, nes",2606,"Nuts, nes",4929
Lebanon,"Nuts, nes",3258,"Nuts, nes",550
Liberia,"Nuts, nes",2777,"Nuts, nes",7370
Madagascar,"Nuts, nes",14,"Nuts, nes",4248
Malawi,"Nuts, nes",3874,"Nuts, nes",5511
Maldives,"Nuts, nes",2137,"Nuts, nes",1707
Mali,"Nuts, nes",1741,"Nuts, nes",8265
Mexico,"Nuts, nes",126075,"Nuts, nes",89
Mongolia,"Nuts, nes",4929,"Nuts, nes",31
Morocco,"Nuts, nes",550,"Nuts, nes",19346
Nigeria,"Nuts, nes",7370,"Nuts, nes",445
Pakistan,"Nuts, nes",4248,"Nuts, nes",18639
Papua New Guinea,"Nuts, nes",5511,"Nuts, nes",3602
Peru,"Nuts, nes",1707,"Nuts, nes",112
Philippines,"Nuts, nes",8265,"Nuts, nes",324
Poland,"Nuts, nes",89,"Nuts, nes",21120
Portugal,"Nuts, nes",31,"Nuts, nes",5027
Republic of Korea,"Nuts, nes",19346,"Nuts, nes",13109
Republic of Moldova,"Nuts, nes",445,"Nuts, nes",1558
Russian Federation,"Nuts, nes",18639,"Nuts, nes",15457
Senegal,"Nuts, nes",3602,"Nuts, nes",10
Slovenia,"Nuts, nes",112,"Nuts, nes",3089
Solomon Islands,"Nuts, nes",324,"Nuts, nes",492
South Africa,"Nuts, nes",21120,"Nuts, nes",24
Spain,"Nuts, nes",5027,"Nuts, nes",31325
Syrian Arab Republic,"Nuts, nes",13109,"Nuts, nes",127352
Tajikistan,"Nuts, nes",1558,"Nuts, nes",3120
Thailand,"Nuts, nes",15457,"Nuts, nes",5922
Tunisia,"Nuts, nes",10,"Nuts, nes",6930
Turkey,"Nuts, nes",3089,"Nuts, nes Sum",1087750
Turkmenistan,"Nuts, nes",492,Oats,32003
Ukraine,"Nuts, nes",24,Oats,72121
United Republic of Tanzania,"Nuts, nes",31325,Oats,784981
United States of America,"Nuts, nes",127352,Oats,9368
Uzbekistan,"Nuts, nes",3120,Oats,1299680
Viet Nam,"Nuts, nes",5922,Oats,94829
Zimbabwe,"Nuts, nes",6930,Oats,6911
,"Nuts, nes Sum",3089,Oats,389998
Albania,Oats,32003,Oats,16403
Algeria,Oats,72121,Oats,24684
Argentina,Oats,784981,Oats,28651
Armenia,Oats,9368,Oats,878713
Australia,Oats,1299680,Oats,31372
Austria,Oats,94829,Oats,3018100
Azerbaijan,Oats,6911,Oats,533080
Belarus,Oats,389998,Oats,445780
Belgium,Oats,16403,Oats,445780
Bolivia (Plurinational State of),Oats,24684,Oats,4749
Bosnia and Herzegovina,Oats,28651,Oats,80414
Brazil,Oats,878713,Oats,974
Bulgaria,Oats,31372,Oats,132220
Canada,Oats,3018100,Oats,11539
Chile,Oats,533080,Oats,0
China,Oats,445780,Oats,301900
"China, mainland",Oats,445780,Oats,885
Colombia,Oats,4749,Oats,64511
Croatia,Oats,80414,Oats,49180
Cyprus,Oats,974,Oats,1037400
Czechia,Oats,132220,Oats,344838
Democratic People's Republic of Korea,Oats,11539,Oats,6500
Democratic Republic of the Congo,Oats,0,Oats,535900
Denmark,Oats,301900,Oats,46
Ecuador,Oats,885,Oats,80371
Estonia,Oats,64511,Oats,135268
Ethiopia,Oats,49180,Oats,180
Finland,Oats,1037400,Oats,183300
France,Oats,344838,Oats,279
Georgia,Oats,6500,Oats,260798
Germany,Oats,535900,Oats,217
Ghana,Oats,46,Oats,335375
Greece,Oats,80371,Oats,3658
Hungary,Oats,135268,Oats,2204
Iraq,Oats,180,Oats,146100
Ireland,Oats,183300,Oats,121
Israel,Oats,279,Oats,394
Italy,Oats,260798,Oats,153248
Japan,Oats,217,Oats,5287
Kazakhstan,Oats,335375,Oats,71152
Kenya,Oats,3658,Oats,7875
Kyrgyzstan,Oats,2204,Oats,557
Latvia,Oats,146100,Oats,15123
Lebanon,Oats,121,Oats,7078
Lesotho,Oats,394,Oats,46645
Lithuania,Oats,153248,Oats,354300
Luxembourg,Oats,5287,Oats,20846
Mexico,Oats,71152,Oats,1358079
Mongolia,Oats,7875,Oats,65774
Montenegro,Oats,557,Oats,2601
Morocco,Oats,15123,Oats,381359
Netherlands,Oats,7078,Oats,4761365
New Zealand,Oats,46645,Oats,81344
Norway,Oats,354300,Oats,35591
Peru,Oats,20846,Oats,4321
Poland,Oats,1358079,Oats,37282
Portugal,Oats,65774,Oats,884757
Republic of Moldova,Oats,2601,Oats,767900
Romania,Oats,381359,Oats,7106
Russian Federation,Oats,4761365,Oats,195
Serbia,Oats,81344,Oats,3265
Slovakia,Oats,35591,Oats,7612
Slovenia,Oats,4321,Oats,1470
South Africa,Oats,37282,Oats,225000
Spain,Oats,884757,Oats,499890
Sweden,Oats,767900,Oats,816000
Switzerland,Oats,7106,Oats,940130
Syrian Arab Republic,Oats,195,Oats,42000
Tajikistan,Oats,3265,Oats,0
The former Yugoslav Republic of Macedonia,Oats,7612,Oats,634
Tunisia,Oats,1470,Oats Sum,23437561
Turkey,Oats,225000,Oil palm fruit,280207
Ukraine,Oats,499890,Oil palm fruit,654542
United Kingdom,Oats,816000,Oil palm fruit,1647417
United States of America,Oats,940130,Oil palm fruit,86357
Uruguay,Oats,42000,Oil palm fruit,160000
Uzbekistan,Oats,0,Oil palm fruit,2701709
Zimbabwe,Oats,634,Oil palm fruit,5700
,Oats Sum,1470,Oil palm fruit,670727
Angola,Oil palm fruit,280207,Oil palm fruit,670727
Benin,Oil palm fruit,654542,Oil palm fruit,6762416
Brazil,Oil palm fruit,1647417,Oil palm fruit,147584
Burundi,Oil palm fruit,86357,Oil palm fruit,1089448
Cambodia,Oil palm fruit,160000,Oil palm fruit,1696078
Cameroon,Oil palm fruit,2701709,Oil palm fruit,1186911
Central African Republic,Oil palm fruit,5700,Oil palm fruit,53000
China,Oil palm fruit,670727,Oil palm fruit,3124069
"China, mainland",Oil palm fruit,670727,Oil palm fruit,35870
Colombia,Oil palm fruit,6762416,Oil palm fruit,18312
Congo,Oil palm fruit,147584,Oil palm fruit,35061
Costa Rica,Oil palm fruit,1089448,Oil palm fruit,2443000
C??te d'Ivoire,Oil palm fruit,1696078,Oil palm fruit,2103356
Democratic Republic of the Congo,Oil palm fruit,1186911,Oil palm fruit,839389
Dominican Republic,Oil palm fruit,53000,Oil palm fruit,81259
Ecuador,Oil palm fruit,3124069,Oil palm fruit,2045700
Equatorial Guinea,Oil palm fruit,35870,Oil palm fruit,160135795
Gabon,Oil palm fruit,18312,Oil palm fruit,177359
Gambia,Oil palm fruit,35061,Oil palm fruit,21121
Ghana,Oil palm fruit,2443000,Oil palm fruit,86325309
Guatemala,Oil palm fruit,2103356,Oil palm fruit,755222
Guinea,Oil palm fruit,839389,Oil palm fruit,50500
Guinea-Bissau,Oil palm fruit,81259,Oil palm fruit,7817207
Honduras,Oil palm fruit,2045700,Oil palm fruit,49059
Indonesia,Oil palm fruit,160135795,Oil palm fruit,2379738
Liberia,Oil palm fruit,177359,Oil palm fruit,139010
Madagascar,Oil palm fruit,21121,Oil palm fruit,736345
Malaysia,Oil palm fruit,86325309,Oil palm fruit,439529
Mexico,Oil palm fruit,755222,Oil palm fruit,17618
Nicaragua,Oil palm fruit,50500,Oil palm fruit,136759
Nigeria,Oil palm fruit,7817207,Oil palm fruit,210537
Panama,Oil palm fruit,49059,Oil palm fruit,241162
Papua New Guinea,Oil palm fruit,2379738,Oil palm fruit,1195
Paraguay,Oil palm fruit,139010,Oil palm fruit,12081855
Peru,Oil palm fruit,736345,Oil palm fruit,152355
Philippines,Oil palm fruit,439529,Oil palm fruit,75044
Sao Tome and Principe,Oil palm fruit,17618,Oil palm fruit,441362
Senegal,Oil palm fruit,136759,Oil palm fruit Sum,300922920
Sierra Leone,Oil palm fruit,210537,Oilseeds nes,0
Solomon Islands,Oil palm fruit,241162,Oilseeds nes,32707
Suriname,Oil palm fruit,1195,Oilseeds nes,21338
Thailand,Oil palm fruit,12081855,Oilseeds nes,2229
Togo,Oil palm fruit,152355,Oilseeds nes,193
United Republic of Tanzania,Oil palm fruit,75044,Oilseeds nes,26472
Venezuela (Bolivarian Republic of),Oil palm fruit,441362,Oilseeds nes,10761
,Oil palm fruit Sum,136759,Oilseeds nes,610
Argentina,Oilseeds nes,0,Oilseeds nes,13
Austria,Oilseeds nes,32707,Oilseeds nes,1602
Azerbaijan,Oilseeds nes,21338,Oilseeds nes,18295
Bangladesh,Oilseeds nes,2229,Oilseeds nes,2299192
Benin,Oilseeds nes,193,Oilseeds nes,2276855
Brazil,Oilseeds nes,26472,Oilseeds nes,22338
Bulgaria,Oilseeds nes,10761,Oilseeds nes,12141
Cambodia,Oilseeds nes,610,Oilseeds nes,6216
Cameroon,Oilseeds nes,13,Oilseeds nes,3825
Canada,Oilseeds nes,1602,Oilseeds nes,1549
Central African Republic,Oilseeds nes,18295,Oilseeds nes,53119
China,Oilseeds nes,2299192,Oilseeds nes,
"China, mainland",Oilseeds nes,2276855,Oilseeds nes,15141
"China, Taiwan Province of",Oilseeds nes,22338,Oilseeds nes,302432
Costa Rica,Oilseeds nes,12141,Oilseeds nes,9870
C??te d'Ivoire,Oilseeds nes,6216,Oilseeds nes,210
Croatia,Oilseeds nes,3825,Oilseeds nes,9204
Czechia,Oilseeds nes,1549,Oilseeds nes,85000
Democratic Republic of the Congo,Oilseeds nes,53119,Oilseeds nes,1431
El Salvador,Oilseeds nes,,Oilseeds nes,3493
Eritrea,Oilseeds nes,15141,Oilseeds nes,95579
Ethiopia,Oilseeds nes,302432,Oilseeds nes,
France,Oilseeds nes,9870,Oilseeds nes,10170
Ghana,Oilseeds nes,210,Oilseeds nes,37520
Hungary,Oilseeds nes,9204,Oilseeds nes,6
India,Oilseeds nes,85000,Oilseeds nes,200
Iran (Islamic Republic of),Oilseeds nes,1431,Oilseeds nes,2388
Israel,Oilseeds nes,3493,Oilseeds nes,65
Italy,Oilseeds nes,95579,Oilseeds nes,195380
Japan,Oilseeds nes,,Oilseeds nes,382
Kazakhstan,Oilseeds nes,10170,Oilseeds nes,34182
Kenya,Oilseeds nes,37520,Oilseeds nes,184877
Kyrgyzstan,Oilseeds nes,6,Oilseeds nes,33493
Latvia,Oilseeds nes,200,Oilseeds nes,478
Lithuania,Oilseeds nes,2388,Oilseeds nes,557277
Madagascar,Oilseeds nes,65,Oilseeds nes,3225
Malaysia,Oilseeds nes,195380,Oilseeds nes,11479
Morocco,Oilseeds nes,382,Oilseeds nes,33869
Mozambique,Oilseeds nes,34182,Oilseeds nes,24175
Nepal,Oilseeds nes,184877,Oilseeds nes,45625
Niger,Oilseeds nes,33493,Oilseeds nes,78643
Nigeria,Oilseeds nes,478,Oilseeds nes,202
Pakistan,Oilseeds nes,557277,Oilseeds nes,787
Peru,Oilseeds nes,3225,Oilseeds nes,14757
Philippines,Oilseeds nes,11479,Oilseeds nes,51923
Poland,Oilseeds nes,33869,Oilseeds nes,9000
Portugal,Oilseeds nes,24175,Oilseeds nes,66
Republic of Korea,Oilseeds nes,45625,Oilseeds nes,
Russian Federation,Oilseeds nes,78643,Oilseeds nes,
Samoa,Oilseeds nes,202,Oilseeds nes,48335
Slovakia,Oilseeds nes,787,Oilseeds nes,133300
South Africa,Oilseeds nes,14757,Oilseeds nes,45948
South Sudan,Oilseeds nes,51923,Oilseeds nes,3244
Sudan,Oilseeds nes,9000,Oilseeds nes,12442
Switzerland,Oilseeds nes,66,Oilseeds nes Sum,6885253
The former Yugoslav Republic of Macedonia,Oilseeds nes,,Okra,7666
Timor-Leste,Oilseeds nes,,Okra,482
Uganda,Oilseeds nes,48335,Okra,822
Ukraine,Oilseeds nes,133300,Okra,255
United Republic of Tanzania,Oilseeds nes,45948,Okra,60
Uzbekistan,Oilseeds nes,3244,Okra,42244
Zimbabwe,Oilseeds nes,12442,Okra,417
,Oilseeds nes Sum,66,Okra,24740
Albania,Okra,7666,Okra,90780
Bahamas,Okra,482,Okra,1523
Bahrain,Okra,822,Okra,112966
Barbados,Okra,255,Okra,1832
Belize,Okra,60,Okra,27
Benin,Okra,42244,Okra,57721
Brunei Darussalam,Okra,417,Okra,766
Burkina Faso,Okra,24740,Okra,66360
Cameroon,Okra,90780,Okra,6749
Congo,Okra,1523,Okra,10731
C??te d'Ivoire,Okra,112966,Okra,5507000
Cyprus,Okra,1832,Okra,46071
Djibouti,Okra,27,Okra,6922
Egypt,Okra,57721,Okra,6299
Fiji,Okra,766,Okra,3941
Ghana,Okra,66360,Okra,7058
Guatemala,Okra,6749,Okra,1045
Guyana,Okra,10731,Okra,55856
India,Okra,5507000,Okra,241033
Iraq,Okra,46071,Okra,1490
Jamaica,Okra,6922,Okra,29602
Jordan,Okra,6299,Okra,1978286
Kenya,Okra,3941,Okra,2449
Kuwait,Okra,7058,Okra,6418
Lebanon,Okra,1045,Okra,117961
Malaysia,Okra,55856,Okra,30529
Mali,Okra,241033,Okra,133
Mauritius,Okra,1490,Okra,168
Mexico,Okra,29602,Okra,46478
Nigeria,Okra,1978286,Okra,19073
Occupied Palestinian Territory,Okra,2449,Okra,287300
Oman,Okra,6418,Okra,11690
Pakistan,Okra,117961,Okra,1075
Philippines,Okra,30529,Okra,29529
Puerto Rico,Okra,133,Okra,2007
Qatar,Okra,168,Okra,10524
Saudi Arabia,Okra,46478,Okra,24356
Senegal,Okra,19073,Okra Sum,8900434
Sudan,Okra,287300,Olives,7647
Syrian Arab Republic,Okra,11690,Olives,99075
Trinidad and Tobago,Okra,1075,Olives,696962
Turkey,Okra,29529,Olives,175094
United Arab Emirates,Okra,2007,Olives,75083
United States of America,Okra,10524,Olives,1586
Yemen,Okra,24356,Olives,359
,Okra Sum,19073,Olives,647
Afghanistan,Olives,7647,Olives,111481
Albania,Olives,99075,Olives,2621
Algeria,Olives,696962,Olives,2621
Argentina,Olives,175094,Olives,31183
Australia,Olives,75083,Olives,13499
Azerbaijan,Olives,1586,Olives,694309
Bosnia and Herzegovina,Olives,359,Olives,10840
Brazil,Olives,647,Olives,27102
Chile,Olives,111481,Olives,2343383
China,Olives,2621,Olives,85049
"China, Taiwan Province of",Olives,2621,Olives,9332
Croatia,Olives,31183,Olives,91000
Cyprus,Olives,13499,Olives,2092175
Egypt,Olives,694309,Olives,115813
El Salvador,Olives,10840,Olives,60
France,Olives,27102,Olives,118146
Greece,Olives,2343383,Olives,188975
Iran (Islamic Republic of),Olives,85049,Olives,30
Iraq,Olives,9332,Olives,21650
Israel,Olives,91000,Olives,250
Italy,Olives,2092175,Olives,1416107
Jordan,Olives,115813,Olives,95044
Kuwait,Olives,60,Olives,56157
Lebanon,Olives,118146,Olives,617610
Libya,Olives,188975,Olives,1662
Malta,Olives,30,Olives,6559884
Mexico,Olives,21650,Olives,899435
Montenegro,Olives,250,Olives,12369
Morocco,Olives,1416107,Olives,700000
Occupied Palestinian Territory,Olives,95044,Olives,1730000
Peru,Olives,56157,Olives,159600
Portugal,Olives,617610,Olives,6159
Slovenia,Olives,1662,Olives,116
Spain,Olives,6559884,Olives Sum,19270115
Syrian Arab Republic,Olives,899435,"Onions, dry",141649
The former Yugoslav Republic of Macedonia,Olives,12369,"Onions, dry",100236
Tunisia,Olives,700000,"Onions, dry",1525987
Turkey,Olives,1730000,"Onions, dry",319
United States of America,Olives,159600,"Onions, dry",600000
Uruguay,Olives,6159,"Onions, dry",53922
Uzbekistan,Olives,116,"Onions, dry",264547
,Olives Sum,6559884,"Onions, dry",163292
Afghanistan,"Onions, dry",141649,"Onions, dry",178249
Albania,"Onions, dry",100236,"Onions, dry",942
Algeria,"Onions, dry",1525987,"Onions, dry",309
Antigua and Barbuda,"Onions, dry",319,"Onions, dry",1735334
Argentina,"Onions, dry",600000,"Onions, dry",404
Armenia,"Onions, dry",53922,"Onions, dry",208873
Australia,"Onions, dry",264547,"Onions, dry",130775
Austria,"Onions, dry",163292,"Onions, dry",81177
Azerbaijan,"Onions, dry",178249,"Onions, dry",53
Bahamas,"Onions, dry",942,"Onions, dry",636
Bahrain,"Onions, dry",309,"Onions, dry",79794
Bangladesh,"Onions, dry",1735334,"Onions, dry",44996
Barbados,"Onions, dry",404,"Onions, dry",4277
Belarus,"Onions, dry",208873,"Onions, dry",1657441
